nfib vfrac angle ratio mu lambda
60 0.48 0.0 1.75 0.5355205637736924 0.62
70 0.56 0.0 1.00 0.8961679244227676 0.62
30 0.24 0.0 1.75 1.0849601855276585 0.62
50 0.4 0.0 2.00 0.9560800617747943 0.62
30 0.24 0.0 1.75 0.8713943354462889 0.62
70 0.56 0.0 1.75 0.5066561490878116 0.62
60 0.48 0.0 2.25 2.46180577006105 0.62
30 0.24 0.0 1.50 0.6871162653428061 0.62
10 0.08 0.0 1.00 1.348020365429984 0.62
50 0.4 0.0 1.00 0.36981937547672916 0.62
40 0.32 0.0 2.25 0.2745150290039695 0.62
30 0.24 0.0 1.50 1.9662214045439028 0.62
50 0.4 0.0 2.25 0.2511167805554037 0.62
20 0.16 0.0 2.50 1.4132001234789533 0.62
60 0.48 0.0 1.00 0.4854646885059595 0.62
70 0.56 0.0 2.25 0.9730298872570727 0.62
40 0.32 0.0 1.75 1.8480610707015293 0.62
40 0.32 0.0 1.50 2.1750679849963364 0.62
10 0.08 0.0 2.50 1.4627369764419829 0.62
50 0.4 0.0 1.00 0.1883086744822232 0.62
50 0.4 0.0 1.75 0.48271488963098597 0.62
70 0.56 0.0 2.00 2.023138611521531 0.62
10 0.08 0.0 1.00 1.494023198571331 0.62
50 0.4 0.0 2.50 0.6776760946357048 0.62
70 0.56 0.0 2.00 1.8378469515072537 0.62
20 0.16 0.0 2.50 1.5248033069386058 0.62
10 0.08 0.0 1.00 1.9097499271009508 0.62
60 0.48 0.0 1.25 1.3517453372894879 0.62
40 0.32 0.0 2.25 1.4851603042382346 0.62
50 0.4 0.0 1.75 0.26774502799254796 0.62
10 0.08 0.0 1.00 2.5216648715504055 0.62
30 0.24 0.0 1.25 1.545424499579935 0.62
40 0.32 0.0 1.00 1.7479900123706849 0.62
30 0.24 0.0 2.00 0.27591555868418194 0.62
60 0.48 0.0 1.75 1.9222267330750984 0.62
30 0.24 0.0 2.00 2.175049400318219 0.62
60 0.48 0.0 1.25 1.8283808339543879 0.62
30 0.24 0.0 2.50 1.5306748623283457 0.62
40 0.32 0.0 2.00 0.1591552084878554 0.62
70 0.56 0.0 1.00 0.17891760076409158 0.62
20 0.16 0.0 1.75 1.7016585090328804 0.62
70 0.56 0.0 1.25 1.5284037864347895 0.62
30 0.24 0.0 1.75 1.6337913523474128 0.62
50 0.4 0.0 2.50 1.5230847403737005 0.62
30 0.24 0.0 1.75 0.8692716164441241 0.62
20 0.16 0.0 1.25 2.226415630100295 0.62
30 0.24 0.0 1.50 1.4107646133885192 0.62
50 0.4 0.0 2.00 0.21593186280583007 0.62
30 0.24 0.0 1.25 1.8936679000268593 0.62
50 0.4 0.0 1.50 1.966849940886699 0.62
70 0.56 0.0 1.50 2.399680979365973 0.62
40 0.32 0.0 1.75 0.47669458299846235 0.62
20 0.16 0.0 1.50 0.5917490860470558 0.62
20 0.16 0.0 2.25 0.5329350226693553 0.62
20 0.16 0.0 1.50 1.1891141383767712 0.62
40 0.32 0.0 2.50 2.0409709815338037 0.62
50 0.4 0.0 1.75 1.2406281981156841 0.62
10 0.08 0.0 1.00 1.8195032011313141 0.62
30 0.24 0.0 2.00 1.7113305396869887 0.62
10 0.08 0.0 2.00 0.30429202938126976 0.62
10 0.08 0.0 1.50 1.0517335977864184 0.62
20 0.16 0.0 1.00 1.3925253060413245 0.62
60 0.48 0.0 1.75 0.7466082274856047 0.62
30 0.24 0.0 1.25 1.477191363963589 0.62
50 0.4 0.0 1.75 1.536135085074022 0.62
40 0.32 0.0 2.00 1.7936967168506466 0.62
30 0.24 0.0 1.25 1.6460478703921826 0.62
50 0.4 0.0 2.50 1.6629114940373888 0.62
60 0.48 0.0 2.25 2.320262481786054 0.62
20 0.16 0.0 1.00 0.3040873780473043 0.62
20 0.16 0.0 1.00 2.012180647963215 0.62
70 0.56 0.0 2.00 0.7521350911254261 0.62
10 0.08 0.0 1.50 1.7187265867987167 0.62
20 0.16 0.0 1.25 0.9583021883451309 0.62
50 0.4 0.0 2.00 0.8367130356707836 0.62
10 0.08 0.0 1.00 1.441903810779539 0.62
10 0.08 0.0 1.25 0.7907843579013164 0.62
60 0.48 0.0 1.25 2.193001141192058 0.62
50 0.4 0.0 1.25 2.150965990050633 0.62
10 0.08 0.0 2.00 1.0678683546749528 0.62
20 0.16 0.0 1.00 0.17218320865271064 0.62
70 0.56 0.0 1.75 0.14470500400090214 0.62
10 0.08 0.0 1.50 0.5165778254180274 0.62
70 0.56 0.0 1.75 1.658332064815485 0.62
20 0.16 0.0 1.25 1.1463849539627864 0.62
50 0.4 0.0 1.25 1.7008060773157674 0.62
60 0.48 0.0 1.25 1.993155453223083 0.62
60 0.48 0.0 2.50 1.1860101653298143 0.62
20 0.16 0.0 1.25 1.9761941531848268 0.62
20 0.16 0.0 1.25 2.2847386164482617 0.62
70 0.56 0.0 1.25 0.43811532905028416 0.62
50 0.4 0.0 2.00 2.463339758263756 0.62
20 0.16 0.0 2.50 1.9252487524642756 0.62
30 0.24 0.0 2.25 1.6750515224749838 0.62
40 0.32 0.0 1.00 2.307146744695548 0.62
70 0.56 0.0 2.50 2.472706327129348 0.62
40 0.32 0.0 1.00 1.5992321522487265 0.62
70 0.56 0.0 2.25 0.8695329370238138 0.62
50 0.4 0.0 1.50 2.535029239700604 0.62
40 0.32 0.0 1.75 0.6337370440706444 0.62
40 0.32 0.0 2.00 1.5714605076604504 0.62
40 0.32 0.0 2.00 1.06861326482247 0.62
50 0.4 0.0 1.25 1.7198384541864489 0.62
30 0.24 0.0 1.75 0.40708808690913145 0.62
30 0.24 0.0 2.50 2.031410961024964 0.62
10 0.08 0.0 2.50 0.5441704385981597 0.62
50 0.4 0.0 1.25 0.6752043995267648 0.62
10 0.08 0.0 1.50 0.909533295081654 0.62
70 0.56 0.0 1.00 0.29934589772290104 0.62
40 0.32 0.0 2.25 1.9257947471348982 0.62
20 0.16 0.0 1.25 1.9107963565870971 0.62
10 0.08 0.0 1.75 1.4689362224051048 0.62
20 0.16 0.0 2.25 1.3074820605333504 0.62
50 0.4 0.0 2.00 2.4300165414194916 0.62
70 0.56 0.0 1.50 0.9915443378604515 0.62
70 0.56 0.0 2.50 2.389687762519841 0.62
30 0.24 0.0 2.25 1.61820976488272 0.62
50 0.4 0.0 1.50 1.0210535979892887 0.62
30 0.24 0.0 1.75 0.5201612622769104 0.62
60 0.48 0.0 1.50 1.3675315922579692 0.62
20 0.16 0.0 2.25 0.5107459173561057 0.62
60 0.48 0.0 2.25 2.3352905247329576 0.62
40 0.32 0.0 1.25 1.1834417931202965 0.62
60 0.48 0.0 2.25 2.281592084555794 0.62
50 0.4 0.0 2.25 1.1835030834186282 0.62
50 0.4 0.0 1.00 1.6421619114327217 0.62
30 0.24 0.0 1.25 1.319402946905288 0.62
70 0.56 0.0 2.50 2.380853833062683 0.62
60 0.48 0.0 2.00 1.1239319634390768 0.62
60 0.48 0.0 1.00 1.5119891338761846 0.62
20 0.16 0.0 1.75 0.43825829046373654 0.62
30 0.24 0.0 1.00 1.2565466227206126 0.62
60 0.48 0.0 1.00 1.4043210034126015 0.62
50 0.4 0.0 2.50 1.5523316716188216 0.62
30 0.24 0.0 2.25 2.142695898481222 0.62
40 0.32 0.0 1.50 2.1811012487054344 0.62
20 0.16 0.0 1.25 1.1146584860534186 0.62
70 0.56 0.0 1.50 2.490568725454267 0.62
50 0.4 0.0 1.75 2.415530739020615 0.62
30 0.24 0.0 2.50 0.8037362813654195 0.62
20 0.16 0.0 2.00 0.6168579329836431 0.62
50 0.4 0.0 1.50 2.489772234957257 0.62
30 0.24 0.0 2.50 2.541666853270019 0.62
10 0.08 0.0 1.50 0.5318445865752742 0.62
60 0.48 0.0 2.25 2.3359766745835047 0.62
40 0.32 0.0 2.50 1.8387660110639066 0.62
20 0.16 0.0 1.00 2.5433029678565515 0.62
50 0.4 0.0 1.25 2.1537969549677007 0.62
60 0.48 0.0 1.25 1.2138850369525978 0.62
40 0.32 0.0 1.75 1.5390477618344325 0.62
30 0.24 0.0 2.25 0.4090864205741547 0.62
70 0.56 0.0 1.50 2.4690542380656884 0.62
20 0.16 0.0 2.50 0.8899736470672978 0.62
60 0.48 0.0 2.25 0.859700450096195 0.62
40 0.32 0.0 1.50 1.7421021658730622 0.62
60 0.48 0.0 1.00 0.5061653938976165 0.62
50 0.4 0.0 1.75 0.6789234908172216 0.62
30 0.24 0.0 2.25 1.7204024707154577 0.62
50 0.4 0.0 1.50 1.5267739174025377 0.62
60 0.48 0.0 2.50 2.3093517920639086 0.62
10 0.08 0.0 2.00 1.7745627620806455 0.62
10 0.08 0.0 2.50 0.8989477736304163 0.62
30 0.24 0.0 1.00 2.4164096423838 0.62
50 0.4 0.0 1.50 0.4791026786861666 0.62
40 0.32 0.0 2.50 1.023146627270312 0.62
50 0.4 0.0 2.25 1.3163938417216314 0.62
40 0.32 0.0 2.00 1.6850044092942025 0.62
20 0.16 0.0 2.25 0.14342388741998185 0.62
20 0.16 0.0 1.00 2.151669697958086 0.62
10 0.08 0.0 1.75 2.514079707617402 0.62
20 0.16 0.0 1.75 1.155439414821542 0.62
20 0.16 0.0 2.25 0.3928174189013236 0.62
60 0.48 0.0 1.50 0.6975774941287556 0.62
70 0.56 0.0 1.25 2.4637882704113863 0.62
30 0.24 0.0 2.50 1.4690338296193002 0.62
40 0.32 0.0 1.25 2.1168174415418597 0.62
40 0.32 0.0 1.25 1.1479255853748156 0.62
70 0.56 0.0 1.25 1.4695633474173235 0.62
30 0.24 0.0 2.00 0.7139743902444539 0.62
30 0.24 0.0 1.50 1.4927994469936599 0.62
50 0.4 0.0 2.50 2.159613720958179 0.62
20 0.16 0.0 2.25 1.5696199027863842 0.62
70 0.56 0.0 2.50 0.49417734749752584 0.62
30 0.24 0.0 1.75 1.8861755674398248 0.62
50 0.4 0.0 1.50 0.516333345250029 0.62
20 0.16 0.0 1.25 0.2484425767263726 0.62
50 0.4 0.0 2.25 0.2831961492850024 0.62
40 0.32 0.0 1.50 1.0440969818830275 0.62
10 0.08 0.0 1.00 0.12519950252823228 0.62
70 0.56 0.0 2.25 0.17069421242328106 0.62
30 0.24 0.0 2.50 0.5700334800698539 0.62
70 0.56 0.0 1.00 2.4870978605005893 0.62
50 0.4 0.0 1.25 2.1093445869710474 0.62
20 0.16 0.0 2.25 1.6086427288186376 0.62
60 0.48 0.0 1.75 1.5406268983585376 0.62
50 0.4 0.0 2.25 0.8551950211985705 0.62
60 0.48 0.0 2.25 0.37401618083448107 0.62
10 0.08 0.0 2.25 2.1208269942933553 0.62
40 0.32 0.0 2.00 2.3141162478192614 0.62
30 0.24 0.0 1.00 2.1427823931847834 0.62
10 0.08 0.0 1.75 0.615702532842461 0.62
20 0.16 0.0 1.50 0.42728445310835494 0.62
20 0.16 0.0 2.00 2.3042182355760956 0.62
40 0.32 0.0 2.50 0.545864566842659 0.62
60 0.48 0.0 2.50 2.3198874603741078 0.62
40 0.32 0.0 2.50 2.3897241663638065 0.62
30 0.24 0.0 1.25 2.1226826767821487 0.62
60 0.48 0.0 1.00 2.0973055715013667 0.62
60 0.48 0.0 1.25 0.28486740694300916 0.62
40 0.32 0.0 2.00 0.9057696338491565 0.62
20 0.16 0.0 1.75 1.6041498788707562 0.62
10 0.08 0.0 2.25 1.6303929807614825 0.62
40 0.32 0.0 2.50 1.5125714191204465 0.62
60 0.48 0.0 2.00 1.4179593185630062 0.62
70 0.56 0.0 1.00 0.9006605112725398 0.62
10 0.08 0.0 2.50 0.9499818536211492 0.62
20 0.16 0.0 1.75 0.28264297025302654 0.62
50 0.4 0.0 1.00 2.3325992783468767 0.62
70 0.56 0.0 1.50 2.128282929317415 0.62
20 0.16 0.0 1.75 0.20213639520586205 0.62
60 0.48 0.0 1.50 2.3025337709290983 0.62
20 0.16 0.0 2.00 1.9887698265417244 0.62
50 0.4 0.0 2.50 2.514042884691592 0.62
60 0.48 0.0 1.00 2.0451323576913536 0.62
20 0.16 0.0 2.25 0.8270871767915235 0.62
50 0.4 0.0 1.25 1.4896753781626269 0.62
30 0.24 0.0 1.00 2.3962169757294354 0.62
60 0.48 0.0 1.50 1.7096445750948552 0.62
40 0.32 0.0 1.75 1.4033433953507215 0.62
40 0.32 0.0 2.50 0.8087749184524696 0.62
10 0.08 0.0 2.25 0.5005001440021788 0.62
40 0.32 0.0 1.00 1.2226097456245235 0.62
10 0.08 0.0 1.50 1.0050961815664237 0.62
70 0.56 0.0 1.00 0.5292860123466757 0.62
30 0.24 0.0 2.25 2.290861974594916 0.62
70 0.56 0.0 1.00 0.7221426795287239 0.62
50 0.4 0.0 2.00 1.2817290329204467 0.62
60 0.48 0.0 1.00 1.2066494243702512 0.62
30 0.24 0.0 1.75 2.3009847645087573 0.62
70 0.56 0.0 1.50 0.5483130582780719 0.62
20 0.16 0.0 1.75 1.026449625123454 0.62
70 0.56 0.0 1.75 0.33651077206361446 0.62
70 0.56 0.0 1.50 1.779609048641613 0.62
20 0.16 0.0 1.00 0.7437377013578501 0.62
40 0.32 0.0 2.25 1.766525447803238 0.62
40 0.32 0.0 2.25 2.3916843272596164 0.62
10 0.08 0.0 1.25 0.3606660883779089 0.62
60 0.48 0.0 2.50 0.23025168446178682 0.62
20 0.16 0.0 1.75 1.5269818163994409 0.62
30 0.24 0.0 1.50 0.27121695713050453 0.62
30 0.24 0.0 1.75 0.25188173377200196 0.62
70 0.56 0.0 2.25 0.8630872652456407 0.62
30 0.24 0.0 1.25 2.1615182901640018 0.62
40 0.32 0.0 1.00 1.0570101345964706 0.62
40 0.32 0.0 2.50 2.2942641382352473 0.62
30 0.24 0.0 1.50 0.3430584080489022 0.62
20 0.16 0.0 1.75 2.3310515401142435 0.62
10 0.08 0.0 1.25 1.8862358750402755 0.62
50 0.4 0.0 1.50 0.4133488824363062 0.62
20 0.16 0.0 1.25 1.8598074819173822 0.62
70 0.56 0.0 1.25 2.3224834120780358 0.62
30 0.24 0.0 1.25 2.181487010256155 0.62
20 0.16 0.0 1.75 1.527795251314203 0.62
70 0.56 0.0 2.00 0.796711920862524 0.62
30 0.24 0.0 1.50 1.2271295934031383 0.62
40 0.32 0.0 1.50 2.3754359935318528 0.62
60 0.48 0.0 1.00 1.1898704278385215 0.62
60 0.48 0.0 1.25 1.229071586058193 0.62
70 0.56 0.0 1.75 0.5314529064426817 0.62
60 0.48 0.0 1.50 0.7901045502483046 0.62
50 0.4 0.0 2.00 2.0669884443849775 0.62
50 0.4 0.0 1.25 0.23003177726586843 0.62
50 0.4 0.0 2.00 1.1178764243574841 0.62
20 0.16 0.0 1.00 2.2694528303441417 0.62
60 0.48 0.0 2.25 2.06187189478592 0.62
60 0.48 0.0 1.25 1.0401419773282001 0.62
40 0.32 0.0 2.50 0.9315063902815787 0.62
40 0.32 0.0 2.50 1.628840156915163 0.62
60 0.48 0.0 1.50 1.5727812897093048 0.62
40 0.32 0.0 2.00 2.329943001074186 0.62
10 0.08 0.0 1.75 1.4194187819881534 0.62
60 0.48 0.0 1.75 0.6152422491515577 0.62
70 0.56 0.0 2.25 1.0211294617510525 0.62
50 0.4 0.0 1.00 1.7664884227191409 0.62
20 0.16 0.0 1.25 1.319128304531445 0.62
60 0.48 0.0 1.50 0.6827723953245916 0.62
20 0.16 0.0 1.25 2.033274753287957 0.62
70 0.56 0.0 2.00 1.6884152780690658 0.62
30 0.24 0.0 2.50 1.8077912132133596 0.62
70 0.56 0.0 1.00 0.3831412429797545 0.62
10 0.08 0.0 2.50 1.6866537953852438 0.62
40 0.32 0.0 2.25 1.6375183570247107 0.62
20 0.16 0.0 1.00 0.4285240869617374 0.62
60 0.48 0.0 2.50 1.7572909271223236 0.62
10 0.08 0.0 2.00 0.5871029384560185 0.62
30 0.24 0.0 2.25 0.53706261371907 0.62
20 0.16 0.0 1.50 2.37410108407156 0.62
70 0.56 0.0 2.50 0.9456572749972829 0.62
20 0.16 0.0 2.50 0.8095054330820068 0.62
40 0.32 0.0 1.75 1.2782467066422547 0.62
50 0.4 0.0 1.50 1.7909000335422562 0.62
50 0.4 0.0 2.00 1.1820875480289152 0.62
70 0.56 0.0 1.50 0.43389140959968664 0.62
70 0.56 0.0 1.50 1.9619342876847594 0.62
30 0.24 0.0 2.00 2.1289873183330754 0.62
60 0.48 0.0 2.25 0.5439532493322057 0.62
50 0.4 0.0 2.25 2.3702956383432414 0.62
40 0.32 0.0 2.25 0.20916888068613615 0.62
40 0.32 0.0 2.50 2.4178859141697746 0.62
20 0.16 0.0 1.25 2.1805373177617686 0.62
60 0.48 0.0 1.25 0.5781160686443911 0.62
10 0.08 0.0 2.25 1.0358545547504743 0.62
60 0.48 0.0 1.75 2.016022231464729 0.62
60 0.48 0.0 2.25 2.2269536956366633 0.62
70 0.56 0.0 1.00 0.19017889822945314 0.62
40 0.32 0.0 1.75 1.1408910945593063 0.62
40 0.32 0.0 2.50 0.7959194052706782 0.62
30 0.24 0.0 1.75 0.924725209195562 0.62
60 0.48 0.0 2.50 0.5155142300823071 0.62
10 0.08 0.0 1.25 1.8049348128753855 0.62
40 0.32 0.0 1.00 0.12202973256294683 0.62
30 0.24 0.0 2.25 1.2436213617296648 0.62
70 0.56 0.0 1.25 1.3464516829891124 0.62
30 0.24 0.0 1.50 1.820938706427977 0.62
40 0.32 0.0 1.25 1.4787674631597125 0.62
30 0.24 0.0 2.50 1.473003182775482 0.62
70 0.56 0.0 2.00 1.6821112704937018 0.62
20 0.16 0.0 1.00 1.4018203428672347 0.62
70 0.56 0.0 1.00 0.5503692271103331 0.62
40 0.32 0.0 1.75 0.2245918591609601 0.62
30 0.24 0.0 1.50 1.482864027867174 0.62
60 0.48 0.0 2.25 1.456320184915481 0.62
60 0.48 0.0 1.00 0.873552721303087 0.62
50 0.4 0.0 1.75 0.526628837265703 0.62
50 0.4 0.0 1.75 0.1453301682259769 0.62
50 0.4 0.0 2.50 0.2159052276042153 0.62
20 0.16 0.0 2.25 0.16376291275692534 0.62
30 0.24 0.0 2.25 0.777710469838229 0.62
10 0.08 0.0 1.25 2.0601389604264453 0.62
20 0.16 0.0 2.25 1.296241411287964 0.62
20 0.16 0.0 2.00 1.3884821838873533 0.62
40 0.32 0.0 1.75 0.8039392191470054 0.62
20 0.16 0.0 1.00 1.7536965003115652 0.62
30 0.24 0.0 2.50 1.7495748886818767 0.62
10 0.08 0.0 1.50 0.23631917275789674 0.62
60 0.48 0.0 1.75 1.3629300964896227 0.62
70 0.56 0.0 2.25 0.3735201153063281 0.62
50 0.4 0.0 2.25 2.222355947403953 0.62
70 0.56 0.0 1.75 1.8589182763086172 0.62
60 0.48 0.0 1.25 2.0121113654457714 0.62
70 0.56 0.0 2.25 0.5480517737838388 0.62
10 0.08 0.0 1.50 1.5516661933510647 0.62
40 0.32 0.0 1.75 2.317760844798326 0.62
70 0.56 0.0 2.50 2.3034840568024113 0.62
60 0.48 0.0 1.00 1.0391856336936762 0.62
